name,description,stock,price
Organic Orange Juice,Freshly made local organic orange juice,100,5
Whole Milk,Fresh whole milk from local farms,200,3
Skim Milk,Low-fat skim milk,180,3
AA Batteries Pack of 4,Long-lasting AA batteries (pack of 4),150,6
AAA Batteries Pack of 6,High-energy AAA batteries (pack of 6),100,7
Free-range Eggs Dozen Pack,Dozen pack of free-range eggs,120,4
Bread Loaf,Freshly baked whole grain bread loaf,50,2.5
Peanut Butter,Organic creamy peanut butter,75,4.5
Shampoo 500ml,Nourishing shampoo for all hair types,60,8
Toothpaste 150g,Whitening toothpaste with fluoride,90,3.5
Chocolate Bar 100g,Premium dark chocolate bar,200,2.5
Instant Noodles,Quick and easy instant noodles (pack of 5),250,3
Cola Soda 1.5L,Refreshing cola soda in a 1.5L bottle,150,2
Chips Family Size,Crunchy salted potato chips family-size pack,130,3
Dish Soap 500ml,Lemon-scented dishwashing liquid,85,3
Hand Sanitizer 300ml,Alcohol-based hand sanitizer,100,5
Coffee Beans 1kg,Premium whole coffee beans,75,15
Mineral Water 500ml,Refreshing natural mineral water,180,1.5
Laundry Detergent 1kg,Powerful stain-removing detergent,70,7
Merlot 750ml,Soft and smooth red wine,45,19
Pinot Noir 750ml,Light-bodied red wine with elegant flavors,35,22
